metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
started_at_unix,1787731294.9969985
datasets.locomo.path,.cache/datasets/locomo10.json
datasets.locomo.sha256,79fa87e90f04081343b8c8debecb80a9a6842b76a7aa537dc9fdf651ea698ff4
locomo.dataset,LoCoMo-10
locomo.conversations,10
locomo.questions,1986
locomo.category_counts.2,321
locomo.category_counts.3,96
locomo.category_counts.1,282
locomo.category_counts.4,841
locomo.category_counts.5,446
locomo.questions_with_image_evidence,857
locomo.turn_retrieval.word_all.all_answerable.n,1977
locomo.turn_retrieval.word_all.all_answerable.mrr,0.4645492052357084
locomo.turn_retrieval.word_all.all_answerable.hit_at_1,0.35761254425897826
locomo.turn_retrieval.word_all.all_answerable.recall_at_1,0.3316320404711907
locomo.turn_retrieval.word_all.all_answerable.complete_at_1,0.31360647445624684
locomo.turn_retrieval.word_all.all_answerable.ndcg_at_1,0.35761254425897826
locomo.turn_retrieval.word_all.all_answerable.hit_at_5,0.5892766818411735
locomo.turn_retrieval.word_all.all_answerable.recall_at_5,0.5457317434011881
locomo.turn_retrieval.word_all.all_answerable.complete_at_5,0.5123925139099645
locomo.turn_retrieval.word_all.all_answerable.ndcg_at_5,0.4580596470133441
locomo.turn_retrieval.word_all.all_answerable.hit_at_10,0.6621143146181082
locomo.turn_retrieval.word_all.all_answerable.recall_at_10,0.6128744397525786
locomo.turn_retrieval.word_all.all_answerable.complete_at_10,0.5720789074355084
locomo.turn_retrieval.word_all.all_answerable.ndcg_at_10,0.4811855294393766
locomo.turn_retrieval.word_all.all_answerable.hit_at_20,0.7263530601922105
locomo.turn_retrieval.word_all.all_answerable.recall_at_20,0.6731767654927335
locomo.turn_retrieval.word_all.all_answerable.complete_at_20,0.6282245827010622
locomo.turn_retrieval.word_all.all_answerable.ndcg_at_20,0.49817036155765343
locomo.turn_retrieval.word_all.category_2.n,320
locomo.turn_retrieval.word_all.category_2.mrr,0.5255226874719646
locomo.turn_retrieval.word_all.category_2.hit_at_1,0.4125
locomo.turn_retrieval.word_all.category_2.recall_at_1,0.38958333333333334
locomo.turn_retrieval.word_all.category_2.complete_at_1,0.371875
locomo.turn_retrieval.word_all.category_2.ndcg_at_1,0.4125
locomo.turn_retrieval.word_all.category_2.hit_at_5,0.659375
locomo.turn_retrieval.word_all.category_2.recall_at_5,0.6309895833333333
locomo.turn_retrieval.word_all.category_2.complete_at_5,0.603125
locomo.turn_retrieval.word_all.category_2.ndcg_at_5,0.5301785887852108
locomo.turn_retrieval.word_all.category_2.hit_at_10,0.73125
locomo.turn_retrieval.word_all.category_2.recall_at_10,0.6966145833333333
locomo.turn_retrieval.word_all.category_2.complete_at_10,0.659375
locomo.turn_retrieval.word_all.category_2.ndcg_at_10,0.5521955069477337
locomo.turn_retrieval.word_all.category_2.hit_at_20,0.771875
locomo.turn_retrieval.word_all.category_2.recall_at_20,0.7393229166666667
locomo.turn_retrieval.word_all.category_2.complete_at_20,0.703125
locomo.turn_retrieval.word_all.category_2.ndcg_at_20,0.5635726388478492
locomo.turn_retrieval.word_all.image_evidence.n,857
locomo.turn_retrieval.word_all.image_evidence.mrr,0.4484448487854301
locomo.turn_retrieval.word_all.image_evidence.hit_at_1,0.3372228704784131
locomo.turn_retrieval.word_all.image_evidence.recall_at_1,0.30194851498818825
locomo.turn_retrieval.word_all.image_evidence.complete_at_1,0.2812135355892649
locomo.turn_retrieval.word_all.image_evidence.ndcg_at_1,0.3372228704784131
locomo.turn_retrieval.word_all.image_evidence.hit_at_5,0.5705950991831972
locomo.turn_retrieval.word_all.image_evidence.recall_at_5,0.4989439790402361
locomo.turn_retrieval.word_all.image_evidence.complete_at_5,0.45040840140023336
locomo.turn_retrieval.word_all.image_evidence.ndcg_at_5,0.42568919614935313
locomo.turn_retrieval.word_all.image_evidence.hit_at_10,0.6534422403733956
locomo.turn_retrieval.word_all.image_evidence.recall_at_10,0.5743906270604993
locomo.turn_retrieval.word_all.image_evidence.complete_at_10,0.514585764294049
locomo.turn_retrieval.word_all.image_evidence.ndcg_at_10,0.4517366440051592
locomo.turn_retrieval.word_all.image_evidence.hit_at_20,0.7234539089848308
locomo.turn_retrieval.word_all.image_evidence.recall_at_20,0.6365466340479977
locomo.turn_retrieval.word_all.image_evidence.complete_at_20,0.5670945157526255
locomo.turn_retrieval.word_all.image_evidence.ndcg_at_20,0.47022239423311707
locomo.turn_retrieval.word_all.category_3.n,89
locomo.turn_retrieval.word_all.category_3.mrr,0.24501668652205266
locomo.turn_retrieval.word_all.category_3.hit_at_1,0.14606741573033707
locomo.turn_retrieval.word_all.category_3.recall_at_1,0.11610486891385768
locomo.turn_retrieval.word_all.category_3.complete_at_1,0.0898876404494382
locomo.turn_retrieval.word_all.category_3.ndcg_at_1,0.14606741573033707
locomo.turn_retrieval.word_all.category_3.hit_at_5,0.34831460674157305
locomo.turn_retrieval.word_all.category_3.recall_at_5,0.247576558713373
locomo.turn_retrieval.word_all.category_3.complete_at_5,0.16853932584269662
locomo.turn_retrieval.word_all.category_3.ndcg_at_5,0.20660263209727392
locomo.turn_retrieval.word_all.category_3.hit_at_10,0.4044943820224719
locomo.turn_retrieval.word_all.category_3.recall_at_10,0.27453984658214664
locomo.turn_retrieval.word_all.category_3.complete_at_10,0.1797752808988764
locomo.turn_retrieval.word_all.category_3.ndcg_at_10,0.21714467798605203
locomo.turn_retrieval.word_all.category_3.hit_at_20,0.43820224719101125
locomo.turn_retrieval.word_all.category_3.recall_at_20,0.3220172645156122
locomo.turn_retrieval.word_all.category_3.complete_at_20,0.23595505617977527
locomo.turn_retrieval.word_all.category_3.ndcg_at_20,0.23042854712942892
locomo.turn_retrieval.word_all.category_1.n,281
locomo.turn_retrieval.word_all.category_1.mrr,0.27553263557927293
locomo.turn_retrieval.word_all.category_1.hit_at_1,0.16725978647686832
locomo.turn_retrieval.word_all.category_1.recall_at_1,0.061577262200038
locomo.turn_retrieval.word_all.category_1.complete_at_1,0.0
