metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
started_at_unix,1787731297.088105
datasets.longmemeval.path,.cache/datasets/longmemeval_s_cleaned.json
datasets.longmemeval.sha256,d6f21ea9d60a0d56f34a05b609c79c88a451d2ae03597821ea3d5a9678c3a442
longmemeval.dataset,LongMemEval-S-cleaned
longmemeval.instances,500
longmemeval.category_counts.single-session-user,64
longmemeval.category_counts.abstention,30
longmemeval.category_counts.multi-session,121
longmemeval.category_counts.single-session-preference,30
longmemeval.category_counts.temporal-reasoning,127
longmemeval.category_counts.knowledge-update,72
longmemeval.category_counts.single-session-assistant,56
longmemeval.session_retrieval.word_all.all_answerable.n,470
longmemeval.session_retrieval.word_all.all_answerable.mrr,0.9131651276457284
longmemeval.session_retrieval.word_all.all_answerable.hit_at_1,0.8723404255319149
longmemeval.session_retrieval.word_all.all_answerable.recall_at_1,0.5608156028368794
longmemeval.session_retrieval.word_all.all_answerable.complete_at_1,0.30425531914893617
longmemeval.session_retrieval.word_all.all_answerable.ndcg_at_1,0.8723404255319149
longmemeval.session_retrieval.word_all.all_answerable.hit_at_3,0.948936170212766
longmemeval.session_retrieval.word_all.all_answerable.recall_at_3,0.8662056737588653
longmemeval.session_retrieval.word_all.all_answerable.complete_at_3,0.7723404255319148
longmemeval.session_retrieval.word_all.all_answerable.ndcg_at_3,0.8702282754373292
longmemeval.session_retrieval.word_all.all_answerable.hit_at_5,0.9702127659574468
longmemeval.session_retrieval.word_all.all_answerable.recall_at_5,0.9158510638297872
longmemeval.session_retrieval.word_all.all_answerable.complete_at_5,0.8340425531914893
longmemeval.session_retrieval.word_all.all_answerable.ndcg_at_5,0.8853043749953735
longmemeval.session_retrieval.word_all.all_answerable.hit_at_10,0.9829787234042553
longmemeval.session_retrieval.word_all.all_answerable.recall_at_10,0.9497872340425532
longmemeval.session_retrieval.word_all.all_answerable.complete_at_10,0.9042553191489362
longmemeval.session_retrieval.word_all.all_answerable.ndcg_at_10,0.9004012415033639
longmemeval.session_retrieval.word_all.single-session-user.n,64
longmemeval.session_retrieval.word_all.single-session-user.mrr,0.9770833333333333
longmemeval.session_retrieval.word_all.single-session-user.hit_at_1,0.96875
longmemeval.session_retrieval.word_all.single-session-user.recall_at_1,0.96875
longmemeval.session_retrieval.word_all.single-session-user.complete_at_1,0.96875
longmemeval.session_retrieval.word_all.single-session-user.ndcg_at_1,0.96875
longmemeval.session_retrieval.word_all.single-session-user.hit_at_3,0.984375
longmemeval.session_retrieval.word_all.single-session-user.recall_at_3,0.984375
longmemeval.session_retrieval.word_all.single-session-user.complete_at_3,0.984375
longmemeval.session_retrieval.word_all.single-session-user.ndcg_at_3,0.9765625
longmemeval.session_retrieval.word_all.single-session-user.hit_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-user.recall_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-user.complete_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-user.ndcg_at_5,0.9826070751130397
longmemeval.session_retrieval.word_all.single-session-user.hit_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-user.recall_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-user.complete_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-user.ndcg_at_10,0.9826070751130397
longmemeval.session_retrieval.word_all.multi-session.n,121
longmemeval.session_retrieval.word_all.multi-session.mrr,0.9071989953005996
longmemeval.session_retrieval.word_all.multi-session.hit_at_1,0.859504132231405
longmemeval.session_retrieval.word_all.multi-session.recall_at_1,0.3618457300275482
longmemeval.session_retrieval.word_all.multi-session.complete_at_1,0.0
longmemeval.session_retrieval.word_all.multi-session.ndcg_at_1,0.859504132231405
longmemeval.session_retrieval.word_all.multi-session.hit_at_3,0.9421487603305785
longmemeval.session_retrieval.word_all.multi-session.recall_at_3,0.7573002754820936
longmemeval.session_retrieval.word_all.multi-session.complete_at_3,0.5371900826446281
longmemeval.session_retrieval.word_all.multi-session.ndcg_at_3,0.805326327668153
longmemeval.session_retrieval.word_all.multi-session.hit_at_5,0.9669421487603306
longmemeval.session_retrieval.word_all.multi-session.recall_at_5,0.8450413223140496
longmemeval.session_retrieval.word_all.multi-session.complete_at_5,0.6611570247933884
longmemeval.session_retrieval.word_all.multi-session.ndcg_at_5,0.8287773481176781
longmemeval.session_retrieval.word_all.multi-session.hit_at_10,0.9834710743801653
longmemeval.session_retrieval.word_all.multi-session.recall_at_10,0.9136363636363636
longmemeval.session_retrieval.word_all.multi-session.complete_at_10,0.8181818181818182
longmemeval.session_retrieval.word_all.multi-session.ndcg_at_10,0.8605629716228771
longmemeval.session_retrieval.word_all.single-session-preference.n,30
longmemeval.session_retrieval.word_all.single-session-preference.mrr,0.5690387063916476
longmemeval.session_retrieval.word_all.single-session-preference.hit_at_1,0.36666666666666664
longmemeval.session_retrieval.word_all.single-session-preference.recall_at_1,0.36666666666666664
longmemeval.session_retrieval.word_all.single-session-preference.complete_at_1,0.36666666666666664
longmemeval.session_retrieval.word_all.single-session-preference.ndcg_at_1,0.36666666666666664
longmemeval.session_retrieval.word_all.single-session-preference.hit_at_3,0.7666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.recall_at_3,0.7666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.complete_at_3,0.7666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.ndcg_at_3,0.5972169425000068
longmemeval.session_retrieval.word_all.single-session-preference.hit_at_5,0.8666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.recall_at_5,0.8666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.complete_at_5,0.8666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.ndcg_at_5,0.6359022232234609
longmemeval.session_retrieval.word_all.single-session-preference.hit_at_10,0.8666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.recall_at_10,0.8666666666666667
longmemeval.session_retrieval.word_all.single-session-preference.complete_at_10,0.8666666666666667
