metric,value
version,2026.08.26-graph-scheduler-v1
seeds_per_cell,30
horizon,4200
topologies[0],line
topologies[1],fan_in
topologies[2],fan_out
topologies[3],diamond
topologies[4],self_loop
topologies[5],two_cycle
loads[0],under
loads[1],capacity
loads[2],over
policies[0],reactive
policies[1],watermark
policies[2],credit
policies[3],pi
policies[4],aimd:a=0.5:m=1.35
policies[5],aimd:a=0.5:m=1.8
policies[6],aimd:a=0.5:m=2.5
policies[7],aimd:a=1.0:m=1.35
policies[8],aimd:a=1.0:m=1.8
policies[9],aimd:a=1.0:m=2.5
policies[10],aimd:a=2.0:m=1.35
policies[11],aimd:a=2.0:m=1.8
policies[12],aimd:a=2.0:m=2.5
aggregate.line.under.reactive.generated_traces,221.4
aggregate.line.under.reactive.sink_completions,221.4
aggregate.line.under.reactive.throughput_per_1000_ticks,52.714285714285715
aggregate.line.under.reactive.p50_latency,20.0
aggregate.line.under.reactive.p95_latency,22.165000000000003
aggregate.line.under.reactive.p99_latency,22.953333333333333
aggregate.line.under.reactive.mean_latency,20.00226082790153
aggregate.line.under.reactive.max_node_queue,0.0
aggregate.line.under.reactive.max_external_backlog,0.0
aggregate.line.under.reactive.pending_after_drain,0.0
aggregate.line.under.reactive.sustained_no_progress,0.0
aggregate.line.under.reactive.activations,664.2
aggregate.line.under.reactive.blocked_ticks,442.8
aggregate.line.under.reactive.busy_ticks,4428.466666666666
aggregate.line.under.reactive.atomic_publish_stalls,0.0
aggregate.line.under.reactive.overflow_attempts,0.0
aggregate.line.under.reactive.queue_cv,0.0
aggregate.line.under.reactive.queue_direction_reversals,0.0
aggregate.line.under.reactive.source_fairness,1.0
aggregate.line.under.watermark.generated_traces,221.4
aggregate.line.under.watermark.sink_completions,221.4
aggregate.line.under.watermark.throughput_per_1000_ticks,52.714285714285715
aggregate.line.under.watermark.p50_latency,20.0
aggregate.line.under.watermark.p95_latency,22.165000000000003
aggregate.line.under.watermark.p99_latency,22.953333333333333
aggregate.line.under.watermark.mean_latency,20.00226082790153
aggregate.line.under.watermark.max_node_queue,0.0
aggregate.line.under.watermark.max_external_backlog,0.0
aggregate.line.under.watermark.pending_after_drain,0.0
aggregate.line.under.watermark.sustained_no_progress,0.0
aggregate.line.under.watermark.activations,664.2
aggregate.line.under.watermark.blocked_ticks,442.8
aggregate.line.under.watermark.busy_ticks,4428.466666666666
aggregate.line.under.watermark.atomic_publish_stalls,0.0
aggregate.line.under.watermark.overflow_attempts,0.0
aggregate.line.under.watermark.queue_cv,0.0
aggregate.line.under.watermark.queue_direction_reversals,0.0
aggregate.line.under.watermark.source_fairness,1.0
aggregate.line.under.credit.generated_traces,221.4
aggregate.line.under.credit.sink_completions,221.4
aggregate.line.under.credit.throughput_per_1000_ticks,52.714285714285715
aggregate.line.under.credit.p50_latency,20.0
aggregate.line.under.credit.p95_latency,22.165000000000003
aggregate.line.under.credit.p99_latency,22.953333333333333
aggregate.line.under.credit.mean_latency,20.00226082790153
aggregate.line.under.credit.max_node_queue,0.0
aggregate.line.under.credit.max_external_backlog,0.0
aggregate.line.under.credit.pending_after_drain,0.0
aggregate.line.under.credit.sustained_no_progress,0.0
aggregate.line.under.credit.activations,664.2
aggregate.line.under.credit.blocked_ticks,442.8
aggregate.line.under.credit.busy_ticks,4428.466666666666
aggregate.line.under.credit.atomic_publish_stalls,0.0
aggregate.line.under.credit.overflow_attempts,0.0
aggregate.line.under.credit.queue_cv,0.0
aggregate.line.under.credit.queue_direction_reversals,0.0
aggregate.line.under.credit.source_fairness,1.0
aggregate.line.under.pi.generated_traces,221.4
aggregate.line.under.pi.sink_completions,221.4
aggregate.line.under.pi.throughput_per_1000_ticks,52.714285714285715
aggregate.line.under.pi.p50_latency,20.0
aggregate.line.under.pi.p95_latency,22.165000000000003
aggregate.line.under.pi.p99_latency,22.953333333333333
aggregate.line.under.pi.mean_latency,20.00226082790153
aggregate.line.under.pi.max_node_queue,0.0
aggregate.line.under.pi.max_external_backlog,0.0
aggregate.line.under.pi.pending_after_drain,0.0
aggregate.line.under.pi.sustained_no_progress,0.0
aggregate.line.under.pi.activations,664.2
